Name           :	Sample1	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
114,99	19,006	10,000	210,74	2009,06	1,2026	0,0000	24,91	-4,879	0,63	0,000
116,00	19,171	10,000	210,49	2006,69	1,1970	0,0000	24,91	-4,879	0,63	0,000
117,11	19,356	10,000	210,22	2004,05	1,2068	0,0000	24,91	-4,879	0,63	0,000
118,23	19,539	10,000	209,94	2001,43	1,2158	0,0000	24,91	-4,879	0,63	0,000
119,31	19,722	10,000	209,67	1998,81	1,2217	0,0000	24,91	-4,879	0,63	0,000
120,44	19,904	10,000	209,39	1996,20	1,2162	0,0000	24,91	-4,879	0,63	0,000
121,45	20,071	10,000	209,14	1993,82	1,2180	0,0000	24,91	-4,879	0,63	0,000
122,56	20,256	10,000	208,87	1991,18	1,2217	0,0000	24,91	-4,879	0,63	0,000
123,66	20,438	10,000	208,59	1988,58	1,2249	0,0000	24,91	-4,879	0,63	0,000
124,68	20,606	10,000	208,34	1986,18	1,2251	0,0000	24,91	-4,879	0,63	0,000
125,78	20,789	10,000	208,07	1983,55	1,2181	0,0000	24,91	-4,879	0,63	0,000
126,90	20,971	10,000	207,79	1980,95	1,2110	0,0000	24,91	-4,879	0,63	0,000
128,00	21,156	10,000	207,52	1978,31	1,2077	0,0000	24,91	-4,879	0,63	0,000
129,14	21,338	10,000	207,24	1975,71	1,2254	0,0000	24,91	-4,879	0,63	0,000
130,26	21,538	10,000	206,94	1972,85	1,2343	0,0000	24,91	-4,879	0,63	0,000
131,39	21,721	10,000	206,67	1970,23	1,2354	0,0000	24,91	-4,879	0,63	0,000
132,51	21,906	10,000	206,39	1967,59	1,2335	0,0000	24,91	-4,879	0,63	0,000
133,67	22,106	10,000	206,09	1964,73	1,2238	0,0000	24,91	-4,879	0,63	0,000
134,80	22,289	10,000	205,82	1962,11	1,2295	0,0000	24,91	-4,879	0,63	0,000
135,91	22,471	10,000	205,54	1959,50	1,2291	0,0000	24,91	-4,879	0,63	0,000
137,05	22,654	10,000	205,27	1956,88	1,2355	0,0000	24,91	-4,879	0,63	0,000
138,17	22,838	10,000	204,99	1954,26	1,2408	0,0000	24,91	-4,879	0,63	0,000
139,29	23,021	10,000	204,72	1951,64	1,2514	0,0000	24,91	-4,879	0,63	0,000
140,41	23,221	10,000	204,42	1948,78	1,2566	0,0000	24,91	-4,879	0,63	0,000
141,53	23,405	10,000	204,14	1946,14	1,2600	0,0000	24,91	-4,879	0,63	0,000
142,53	23,572	10,000	203,89	1943,76	1,2667	0,0000	24,91	-4,879	0,63	0,000
143,65	23,755	10,000	203,62	1941,13	1,2713	0,0000	24,91	-4,879	0,63	0,000
144,76	23,939	10,000	203,34	1938,51	1,2617	0,0000	24,91	-4,879	0,63	0,000
145,91	24,122	10,000	203,07	1935,89	1,2718	0,0000	24,91	-4,879	0,63	0,000
147,04	24,321	10,000	202,77	1933,05	1,2753	0,0000	24,91	-4,879	0,63	0,000
148,15	24,505	10,000	202,49	1930,41	1,2818	0,0000	24,91	-4,879	0,63	0,000
149,27	24,687	10,000	202,22	1927,81	1,2906	0,0000	24,91	-4,879	0,63	0,000
150,40	24,871	10,000	201,94	1925,18	1,2951	0,0000	24,91	-4,879	0,63	0,000
151,54	25,055	10,000	201,67	1922,54	1,2959	0,0000	24,91	-4,879	0,63	0,000
152,67	25,255	10,000	201,37	1919,68	1,2971	0,0000	24,91	-4,879	0,63	0,000
153,78	25,439	10,000	201,09	1917,06	1,3028	0,0000	24,91	-4,879	0,63	0,000
154,91	25,622	10,000	200,82	1914,44	1,3138	0,0000	24,91	-4,879	0,63	0,000
156,04	25,805	10,000	200,54	1911,82	1,3209	0,0000	24,91	-4,879	0,63	0,000
157,15	25,989	10,000	200,27	1909,20	1,3134	0,0000	24,91	-4,879	0,63	0,000
158,27	26,172	10,000	199,99	1906,58	1,3165	0,0000	24,91	-4,879	0,63	0,000
159,37	26,354	10,000	199,72	1903,97	1,3221	0,0000	24,91	-4,879	0,63	0,000
160,38	26,522	10,000	199,47	1901,57	1,3263	0,0000	24,91	-4,879	0,63	0,000
161,49	26,705	10,000	199,19	1898,95	1,3334	0,0000	24,91	-4,879	0,63	0,000
162,48	26,872	10,000	198,94	1896,57	1,3378	0,0000	24,91	-4,879	0,63	0,000
163,61	27,055	10,000	198,67	1893,95	1,3402	0,0000	24,91	-4,879	0,63	0,000
164,74	27,255	10,000	198,37	1891,09	1,3393	0,0000	24,91	-4,879	0,63	0,000
165,86	27,437	10,000	198,09	1888,48	1,3361	0,0000	24,91	-4,879	0,63	0,000
167,00	27,622	10,000	197,82	1885,84	1,3314	0,0000	24,91	-4,879	0,63	0,000
168,13	27,805	10,000	197,54	1883,22	1,3370	0,0000	24,91	-4,879	0,63	0,000
169,23	28,005	10,000	197,24	1880,36	1,3404	0,0000	24,91	-4,879	0,63	0,000
170,37	28,189	10,000	196,97	1877,74	1,3443	0,0000	24,91	-4,879	0,63	0,000
171,50	28,372	10,000	196,69	1875,12	1,3527	0,0000	24,91	-4,879	0,63	0,000
172,64	28,554	10,000	196,42	1872,52	1,3600	0,0000	24,91	-4,879	0,63	0,000
173,74	28,737	10,000	196,14	1869,89	1,3646	0,0000	24,91	-4,879	0,63	0,000
174,75	28,904	10,000	195,89	1867,51	1,3729	0,0000	24,91	-4,879	0,63	0,000
175,84	29,087	10,000	195,62	1864,89	1,3687	0,0000	24,91	-4,879	0,63	0,000
176,85	29,255	10,000	195,37	1862,49	1,3687	0,0000	24,91	-4,879	0,63	0,000
177,96	29,439	10,000	195,09	1859,87	1,3630	0,0000	24,91	-4,879	0,63	0,000
179,08	29,621	10,000	194,82	1857,26	1,3629	0,0000	24,91	-4,879	0,63	0,000
180,20	29,821	10,000	194,52	1854,40	1,3693	0,0000	24,91	-4,879	0,63	0,000
