Name           :	Sample3	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
129,53	21,404	10,000	207,14	2242,72	3,5218	0,0000	24,45	-4,879	0,62	0,000
130,66	21,589	10,000	206,87	2239,73	3,5329	0,0000	24,45	-4,879	0,62	0,000
131,78	21,788	10,000	206,57	2236,50	3,5341	0,0000	24,46	-4,879	0,62	0,000
132,91	21,971	10,000	206,29	2233,52	3,5431	0,0000	24,46	-4,879	0,62	0,000
134,04	22,156	10,000	206,02	2230,52	3,5477	0,0000	24,46	-4,879	0,62	0,000
135,17	22,339	10,000	205,74	2227,55	3,5539	0,0000	24,46	-4,879	0,62	0,000
136,30	22,538	10,000	205,44	2224,32	3,5740	0,0000	24,46	-4,879	0,62	0,000
137,43	22,721	10,000	205,17	2221,34	3,5876	0,0000	24,46	-4,879	0,62	0,000
138,55	22,904	10,000	204,89	2218,36	3,5991	0,0000	24,46	-4,879	0,62	0,000
139,68	23,089	10,000	204,62	2215,37	3,6135	0,0000	24,46	-4,879	0,62	0,000
140,80	23,272	10,000	204,34	2212,39	3,6229	0,0000	24,46	-4,879	0,62	0,000
141,92	23,471	10,000	204,04	2209,16	3,6331	0,0000	24,46	-4,879	0,62	0,000
143,05	23,655	10,000	203,77	2206,16	3,6439	0,0000	24,46	-4,879	0,62	0,000
144,18	23,838	10,000	203,49	2203,21	3,6522	0,0000	24,46	-4,879	0,62	0,000
145,30	24,022	10,000	203,22	2200,21	3,6690	0,0000	24,46	-4,879	0,62	0,000
146,43	24,204	10,000	202,94	2197,25	3,6829	0,0000	24,46	-4,879	0,62	0,000
147,56	24,405	10,000	202,64	2193,98	3,6881	0,0000	24,46	-4,879	0,62	0,000
148,69	24,589	10,000	202,37	2191,01	3,6999	0,0000	24,46	-4,879	0,62	0,000
149,82	24,771	10,000	202,09	2188,05	3,7112	0,0000	24,46	-4,879	0,62	0,000
150,95	24,955	10,000	201,82	2185,05	3,7253	0,0000	24,46	-4,879	0,62	0,000
152,07	25,154	10,000	201,52	2181,82	3,7213	0,0000	24,46	-4,879	0,62	0,000
153,20	25,339	10,000	201,24	2178,83	3,7340	0,0000	24,46	-4,879	0,62	0,000
154,32	25,521	10,000	200,97	2175,87	3,7446	0,0000	24,46	-4,879	0,62	0,000
155,45	25,704	10,000	200,69	2172,89	3,7560	0,0000	24,46	-4,879	0,62	0,000
156,58	25,889	10,000	200,42	2169,89	3,7613	0,0000	24,46	-4,879	0,62	0,000
157,70	26,087	10,000	200,12	2166,67	3,7744	0,0000	24,47	-4,879	0,62	0,000
158,83	26,271	10,000	199,84	2163,69	3,7911	0,0000	24,47	-4,879	0,62	0,000
159,96	26,454	10,000	199,57	2160,71	3,8058	0,0000	24,47	-4,879	0,62	0,000
161,09	26,639	10,000	199,29	2157,71	3,8114	0,0000	24,47	-4,879	0,62	0,000
162,21	26,821	10,000	199,02	2154,76	3,8150	0,0000	24,47	-4,879	0,62	0,000
163,34	27,021	10,000	198,72	2151,51	3,8243	0,0000	24,47	-4,879	0,62	0,000
164,46	27,204	10,000	198,44	2148,53	3,8358	0,0000	24,47	-4,879	0,62	0,000
165,58	27,389	10,000	198,17	2145,53	3,8513	0,0000	24,47	-4,879	0,62	0,000
166,71	27,571	10,000	197,89	2142,58	3,8792	0,0000	24,47	-4,879	0,62	0,000
167,83	27,755	10,000	197,62	2139,58	3,8921	0,0000	24,47	-4,879	0,62	0,000
168,96	27,954	10,000	197,32	2136,35	3,9013	0,0000	24,47	-4,879	0,62	0,000
170,07	28,139	10,000	197,04	2133,36	3,9174	0,0000	24,47	-4,879	0,62	0,000
171,07	28,305	10,000	196,79	2130,65	3,9225	0,0000	24,47	-4,879	0,62	0,000
172,19	28,487	10,000	196,52	2127,69	3,9307	0,0000	24,47	-4,879	0,62	0,000
173,31	28,671	10,000	196,24	2124,71	3,9365	0,0000	24,47	-4,879	0,62	0,000
174,44	28,854	10,000	195,97	2121,74	3,9466	0,0000	24,47	-4,879	0,62	0,000
175,56	29,037	10,000	195,69	2118,76	3,9603	0,0000	24,47	-4,879	0,62	0,000
176,69	29,239	10,000	195,39	2115,49	3,9702	0,0000	24,47	-4,879	0,62	0,000
177,82	29,421	10,000	195,12	2112,54	3,9797	0,0000	24,47	-4,879	0,62	0,000
178,95	29,605	10,000	194,84	2109,54	3,9901	0,0000	24,47	-4,879	0,62	0,000
180,07	29,787	10,000	194,57	2106,58	4,0065	0,0000	24,47	-4,879	0,62	0,000
181,20	29,971	10,000	194,29	2103,60	4,0156	0,0000	24,48	-4,879	0,62	0,000
182,33	30,171	10,000	193,99	2100,36	4,0345	0,0000	24,48	-4,879	0,62	0,000
183,45	30,354	10,000	193,72	2097,38	4,0412	0,0000	24,48	-4,879	0,62	0,000
184,58	30,537	10,000	193,44	2094,40	4,0459	0,0000	24,48	-4,879	0,62	0,000
185,71	30,722	10,000	193,17	2091,40	4,0538	0,0000	24,48	-4,879	0,62	0,000
186,84	30,921	10,000	192,87	2088,18	4,0621	0,0000	24,48	-4,879	0,62	0,000
187,97	31,104	10,000	192,59	2085,20	4,0713	0,0000	24,48	-4,879	0,62	0,000
189,10	31,288	10,000	192,32	2082,20	4,0781	0,0000	24,48	-4,879	0,62	0,000
190,23	31,471	10,000	192,04	2079,24	4,1018	0,0000	24,48	-4,879	0,62	0,000
191,35	31,654	10,000	191,77	2076,27	4,1139	0,0000	24,48	-4,879	0,62	0,000
192,48	31,854	10,000	191,47	2073,02	4,1119	0,0000	24,48	-4,879	0,62	0,000
193,61	32,037	10,000	191,19	2070,04	4,1270	0,0000	24,48	-4,879	0,62	0,000
194,74	32,222	10,000	190,92	2067,04	4,1382	0,0000	24,48	-4,879	0,62	0,000
195,86	32,404	10,000	190,64	2064,09	4,1495	0,0000	24,48	-4,879	0,62	0,000
196,99	32,604	10,000	190,34	2060,84	4,1557	0,0000	24,48	-4,879	0,62	0,000
198,11	32,787	10,000	190,07	2057,86	4,1621	0,0000	24,48	-4,879	0,62	0,000
199,24	32,972	10,000	189,79	2054,86	4,1858	0,0000	24,48	-4,879	0,62	0,000
200,36	33,155	10,000	189,52	2051,89	4,1936	0,0000	24,48	-4,879	0,62	0,000
201,49	33,338	10,000	189,24	2048,91	4,2317	0,0000	24,48	-4,879	0,62	0,000
202,62	33,538	10,000	188,94	2045,66	4,2440	0,0000	24,48	-4,879	0,62	0,000
203,74	33,722	10,000	188,67	2042,68	4,2551	0,0000	24,48	-4,879	0,62	0,000
204,87	33,905	10,000	188,39	2039,71	4,2682	0,0000	24,48	-4,879	0,62	0,000
205,98	34,087	10,000	188,12	2036,75	4,2744	0,0000	24,48	-4,879	0,62	0,000
207,11	34,272	10,000	187,84	2033,75	4,2784	0,0000	24,48	-4,879	0,62	0,000
208,24	34,470	10,000	187,54	2030,52	4,2986	0,0000	24,48	-4,879	0,62	0,000
209,37	34,655	10,000	187,27	2027,53	4,3074	0,0000	24,48	-4,879	0,62	0,000
210,50	34,837	10,000	186,99	2024,57	4,3248	0,0000	24,48	-4,879	0,62	0,000
211,62	35,022	10,000	186,72	2021,57	4,3336	0,0000	24,48	-4,879	0,62	0,000
212,75	35,204	10,000	186,44	2018,62	4,3443	0,0000	24,47	-4,879	0,62	0,000
213,88	35,405	10,000	186,14	2015,35	4,3611	0,0000	24,47	-4,879	0,62	0,000
215,00	35,587	10,000	185,87	2012,39	4,3724	0,0000	24,47	-4,879	0,62	0,000
216,13	35,772	10,000	185,59	2009,39	4,3832	0,0000	24,47	-4,879	0,62	0,000
217,25	35,955	10,000	185,32	2006,41	4,3978	0,0000	24,47	-4,879	0,62	0,000
218,38	36,137	10,000	185,04	2003,46	4,4172	0,0000	24,47	-4,879	0,62	0,000
219,52	36,338	10,000	184,74	2000,19	4,4235	0,0000	24,48	-4,879	0,62	0,000
220,62	36,522	10,000	184,47	1997,21	4,4323	0,0000	24,48	-4,879	0,62	0,000
221,63	36,688	10,000	184,22	1994,51	4,4363	0,0000	24,48	-4,879	0,62	0,000
222,75	36,872	10,000	183,94	1991,53	4,4456	0,0000	24,48	-4,879	0,62	0,000
223,87	37,054	10,000	183,67	1988,57	4,4577	0,0000	24,48	-4,879	0,62	0,000
225,00	37,237	10,000	183,39	1985,59	4,4763	0,0000	24,48	-4,879	0,62	0,000
226,13	37,438	10,000	183,09	1982,33	4,4881	0,0000	24,48	-4,879	0,62	0,000
227,26	37,620	10,000	182,82	1979,37	4,4951	0,0000	24,48	-4,879	0,62	0,000
228,38	37,805	10,000	182,54	1976,37	4,5087	0,0000	24,48	-4,879	0,62	0,000
229,51	37,987	10,000	182,27	1973,41	4,5190	0,0000	24,48	-4,879	0,62	0,000
230,62	38,170	10,000	181,99	1970,44	4,5416	0,0000	24,48	-4,879	0,62	0,000
231,75	38,372	10,000	181,69	1967,17	4,5506	0,0000	24,48	-4,879	0,62	0,000
232,88	38,555	10,000	181,42	1964,19	4,5634	0,0000	24,48	-4,879	0,62	0,000
233,99	38,738	10,000	181,14	1961,21	4,5672	0,0000	24,48	-4,879	0,62	0,000
235,00	38,905	10,000	180,89	1958,51	4,5796	0,0000	24,48	-4,879	0,62	0,000
236,12	39,088	10,000	180,62	1955,53	4,5988	0,0000	24,47	-4,879	0,62	0,000
237,24	39,272	10,000	180,34	1952,55	4,6163	0,0000	24,47	-4,879	0,62	0,000
238,36	39,454	10,000	180,07	1949,60	4,6361	0,0000	24,47	-4,879	0,62	0,000
239,48	39,638	10,000	179,79	1946,60	4,6435	0,0000	24,47	-4,879	0,62	0,000
240,61	39,838	10,000	179,49	1943,35	4,6463	0,0000	24,47	-4,879	0,62	0,000
241,74	40,021	10,000	179,22	1940,37	4,6583	0,0000	24,47	-4,879	0,62	0,000
242,87	40,204	10,000	178,94	1937,42	4,6711	0,0000	24,47	-4,879	0,62	0,000
243,99	40,388	10,000	178,67	1934,42	4,6877	0,0000	24,47	-4,879	0,62	0,000
245,12	40,588	10,000	178,37	1931,17	4,6960	0,0000	24,47	-4,879	0,62	0,000
246,24	40,771	10,000	178,09	1928,19	4,7046	0,0000	24,47	-4,879	0,62	0,000
247,37	40,953	10,000	177,82	1925,24	4,7215	0,0000	24,47	-4,879	0,62	0,000
248,50	41,138	10,000	177,54	1922,24	4,7415	0,0000	24,47	-4,879	0,62	0,000
249,63	41,320	10,000	177,27	1919,28	4,7445	0,0000	24,47	-4,879	0,62	0,000
250,75	41,520	10,000	176,97	1916,03	4,7565	0,0000	24,47	-4,879	0,62	0,000
251,88	41,703	10,000	176,69	1913,06	4,7714	0,0000	24,47	-4,879	0,62	0,000
253,02	41,888	10,000	176,42	1910,06	4,7857	0,0000	24,47	-4,879	0,62	0,000
254,14	42,070	10,000	176,14	1907,10	4,8010	0,0000	24,47	-4,879	0,62	0,000
255,27	42,270	10,000	175,84	1903,85	4,8071	0,0000	24,48	-4,879	0,62	0,000
256,40	42,453	10,000	175,57	1900,88	4,8247	0,0000	24,48	-4,879	0,62	0,000
257,52	42,638	10,000	175,29	1897,88	4,8350	0,0000	24,48	-4,879	0,62	0,000
258,64	42,821	10,000	175,02	1894,90	4,8458	0,0000	24,48	-4,879	0,62	0,000
259,78	43,005	10,000	174,74	1891,92	4,8567	0,0000	24,48	-4,879	0,62	0,000
260,90	43,203	10,000	174,44	1888,70	4,8769	0,0000	24,48	-4,879	0,62	0,000
262,03	43,387	10,000	174,17	1885,72	4,8825	0,0000	24,48	-4,879	0,62	0,000
263,16	43,571	10,000	173,89	1882,72	4,9036	0,0000	24,48	-4,879	0,62	0,000
264,27	43,755	10,000	173,62	1879,75	4,9195	0,0000	24,48	-4,879	0,62	0,000
265,40	43,937	10,000	173,34	1876,79	4,9385	0,0000	24,47	-4,879	0,62	0,000
266,53	44,137	10,000	173,04	1873,54	4,9505	0,0000	24,47	-4,879	0,62	0,000
267,66	44,320	10,000	172,77	1870,56	4,9669	0,0000	24,47	-4,879	0,62	0,000
268,78	44,503	10,000	172,49	1867,59	4,9790	0,0000	24,47	-4,879	0,62	0,000
269,90	44,687	10,000	172,22	1864,61	4,9833	0,0000	24,47	-4,879	0,62	0,000
270,90	44,855	10,000	171,97	1861,88	4,9923	0,0000	24,47	-4,879	0,62	0,000
272,03	45,037	10,000	171,70	1858,92	5,0101	0,0000	24,47	-4,879	0,62	0,000
273,16	45,237	10,000	171,40	1855,68	5,0250	0,0000	24,47	-4,879	0,62	0,000
274,28	45,421	10,000	171,12	1852,68	5,0426	0,0000	24,47	-4,879	0,62	0,000
275,41	45,605	10,000	170,84	1849,70	5,0604	0,0000	24,47	-4,879	0,62	0,000
276,53	45,787	10,000	170,57	1846,75	5,0741	0,0000	24,47	-4,879	0,62	0,000
277,65	45,971	10,000	170,29	1843,75	5,0916	0,0000	24,47	-4,879	0,62	0,000
278,78	46,171	10,000	169,99	1840,50	5,0964	0,0000	24,47	-4,879	0,62	0,000
279,91	46,355	10,000	169,72	1837,52	5,1059	0,0000	24,47	-4,879	0,62	0,000
281,03	46,537	10,000	169,45	1834,57	5,1403	0,0000	24,47	-4,879	0,62	0,000
282,15	46,720	10,000	169,17	1831,59	5,1436	0,0000	24,47	-4,879	0,62	0,000
283,28	46,903	10,000	168,90	1828,61	5,1613	0,0000	24,47	-4,879	0,62	0,000
284,41	47,105	10,000	168,59	1825,34	5,1633	0,0000	24,47	-4,879	0,62	0,000
285,54	47,287	10,000	168,32	1822,39	5,1777	0,0000	24,47	-4,879	0,62	0,000
286,66	47,471	10,000	168,04	1819,39	5,1955	0,0000	24,47	-4,879	0,62	0,000
287,79	47,655	10,000	167,77	1816,41	5,2070	0,0000	24,47	-4,879	0,62	0,000
288,92	47,838	10,000	167,49	1813,43	5,2207	0,0000	24,47	-4,879	0,62	0,000
290,04	48,037	10,000	167,20	1810,21	5,2364	0,0000	24,47	-4,879	0,62	0,000
