Name           :	Sample4	
User           :		
Date           :	2023-xx-xx	

Probe1         :		
Perimeter      : 		

Probe2         :		
Perimeter      : 		

Trough         :		
Width          :		
Area           :		
Symmetric comp :		

Subphase       :		
Surface tension:		
pH             :		
Temperature    :		

Addition       :		
Concentration  :		
Unit           :	         	

Substance1     :		
MW             :		
Concentration  :		
Unit           :	           	
Volume         :		

Substance2     :		
MW             : 		
Concentration  : 		
Unit           :	         	
Volume         : 		

Substrate      :		
Height         : 		
Shape          : 	       	
Width          :		
Thickness      :		


t[s]	Bpos	Bspd	A[cm²]	Mma[Å²]	P1[mN/m]	P2[mN/m]	T[°C]	SP[V]	pH	AD[V]
87,70	14,488	10,000	217,52	1413,03	7,5060	0,0000	24,73	-4,879	0,62	0,000
88,82	14,671	10,000	217,24	1411,24	7,5248	0,0000	24,73	-4,879	0,62	0,000
89,95	14,855	10,000	216,97	1409,46	7,5379	0,0000	24,73	-4,879	0,62	0,000
91,07	15,038	10,000	216,69	1407,67	7,5489	0,0000	24,73	-4,879	0,62	0,000
92,20	15,222	10,000	216,42	1405,87	7,5506	0,0000	24,73	-4,879	0,62	0,000
93,32	15,422	10,000	216,12	1403,92	7,5652	0,0000	24,73	-4,879	0,62	0,000
94,45	15,606	10,000	215,84	1402,14	7,5805	0,0000	24,73	-4,879	0,62	0,000
95,57	15,789	10,000	215,57	1400,35	7,5930	0,0000	24,73	-4,879	0,62	0,000
96,70	15,971	10,000	215,29	1398,58	7,5964	0,0000	24,73	-4,879	0,62	0,000
97,82	16,154	10,000	215,02	1396,79	7,6059	0,0000	24,73	-4,879	0,62	0,000
98,95	16,338	10,000	214,74	1395,00	7,6175	0,0000	24,73	-4,879	0,62	0,000
100,07	16,538	10,000	214,44	1393,05	7,6336	0,0000	24,73	-4,879	0,62	0,000
101,20	16,722	10,000	214,17	1391,26	7,6441	0,0000	24,73	-4,879	0,62	0,000
102,32	16,904	10,000	213,89	1389,48	7,6493	0,0000	24,73	-4,879	0,62	0,000
103,45	17,088	10,000	213,62	1387,69	7,6601	0,0000	24,73	-4,879	0,62	0,000
104,57	17,271	10,000	213,34	1385,91	7,6638	0,0000	24,73	-4,879	0,62	0,000
105,70	17,472	10,000	213,04	1383,95	7,6727	0,0000	24,73	-4,879	0,62	0,000
106,82	17,656	10,000	212,77	1382,16	7,6799	0,0000	24,73	-4,879	0,62	0,000
107,95	17,838	10,000	212,49	1380,39	7,6946	0,0000	24,73	-4,879	0,62	0,000
109,07	18,022	10,000	212,22	1378,59	7,7050	0,0000	24,73	-4,879	0,62	0,000
110,20	18,206	10,000	211,94	1376,80	7,7164	0,0000	24,73	-4,879	0,62	0,000
111,32	18,404	10,000	211,64	1374,87	7,7290	0,0000	24,73	-4,879	0,62	0,000
112,45	18,588	10,000	211,37	1373,08	7,7365	0,0000	24,73	-4,879	0,62	0,000
113,57	18,772	10,000	211,09	1371,28	7,7478	0,0000	24,73	-4,879	0,62	0,000
114,70	18,954	10,000	210,82	1369,51	7,7617	0,0000	24,73	-4,879	0,62	0,000
115,82	19,138	10,000	210,54	1367,72	7,7732	0,0000	24,73	-4,879	0,62	0,000
116,95	19,338	10,000	210,24	1365,77	7,7860	0,0000	24,73	-4,879	0,62	0,000
118,07	19,521	10,000	209,97	1363,98	7,7885	0,0000	24,73	-4,879	0,62	0,000
119,20	19,706	10,000	209,69	1362,19	7,8093	0,0000	24,73	-4,879	0,62	0,000
120,32	19,889	10,000	209,42	1360,40	7,8107	0,0000	24,73	-4,879	0,62	0,000
121,45	20,071	10,000	209,14	1358,63	7,8209	0,0000	24,73	-4,879	0,62	0,000
122,57	20,271	10,000	208,84	1356,68	7,8284	0,0000	24,73	-4,879	0,62	0,000
123,70	20,456	10,000	208,57	1354,88	7,8450	0,0000	24,73	-4,879	0,62	0,000
124,82	20,639	10,000	208,29	1353,09	7,8675	0,0000	24,73	-4,879	0,62	0,000
125,95	20,821	10,000	208,02	1351,32	7,8769	0,0000	24,73	-4,879	0,62	0,000
127,07	21,004	10,000	207,74	1349,53	7,8860	0,0000	24,73	-4,879	0,62	0,000
128,20	21,206	10,000	207,44	1347,57	7,8987	0,0000	24,73	-4,879	0,62	0,000
129,32	21,388	10,000	207,17	1345,80	7,9034	0,0000	24,73	-4,879	0,62	0,000
130,45	21,572	10,000	206,89	1344,00	7,9104	0,0000	24,73	-4,879	0,62	0,000
131,57	21,754	10,000	206,62	1342,22	7,9197	0,0000	24,73	-4,879	0,62	0,000
132,70	21,939	10,000	206,34	1340,42	7,9315	0,0000	24,73	-4,879	0,62	0,000
133,82	22,139	10,000	206,04	1338,48	7,9418	0,0000	24,73	-4,879	0,62	0,000
134,95	22,322	10,000	205,77	1336,69	7,9532	0,0000	24,73	-4,879	0,62	0,000
136,07	22,504	10,000	205,49	1334,92	7,9648	0,0000	24,73	-4,879	0,62	0,000
137,20	22,688	10,000	205,22	1333,13	7,9772	0,0000	24,72	-4,879	0,62	0,000
138,32	22,871	10,000	204,94	1331,34	7,9873	0,0000	24,72	-4,879	0,62	0,000
139,45	23,071	10,000	204,64	1329,39	7,9958	0,0000	24,72	-4,879	0,62	0,000
140,57	23,254	10,000	204,37	1327,61	8,0094	0,0000	24,72	-4,879	0,62	0,000
141,70	23,439	10,000	204,09	1325,81	8,0166	0,0000	24,72	-4,879	0,62	0,000
142,82	23,621	10,000	203,82	1324,04	8,0282	0,0000	24,72	-4,879	0,62	0,000
143,95	23,805	10,000	203,54	1322,24	8,0415	0,0000	24,72	-4,879	0,62	0,000
145,07	24,004	10,000	203,24	1320,30	8,0535	0,0000	24,72	-4,879	0,62	0,000
146,20	24,187	10,000	202,97	1318,51	8,0569	0,0000	24,72	-4,879	0,62	0,000
147,32	24,372	10,000	202,69	1316,71	8,0653	0,0000	24,72	-4,879	0,62	0,000
148,45	24,555	10,000	202,42	1314,93	8,0773	0,0000	24,72	-4,879	0,62	0,000
149,57	24,739	10,000	202,14	1313,14	8,0782	0,0000	24,72	-4,879	0,62	0,000
150,70	24,921	10,000	201,87	1311,37	8,0881	0,0000	24,72	-4,879	0,62	0,000
151,82	25,122	10,000	201,57	1309,41	8,1053	0,0000	24,72	-4,879	0,62	0,000
152,95	25,304	10,000	201,29	1307,63	8,1210	0,0000	24,72	-4,879	0,62	0,000
154,07	25,489	10,000	201,02	1305,83	8,1300	0,0000	24,72	-4,879	0,62	0,000
